Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,ctr,cpc,cpm,conversion_rate,roas
A1000,Data Analytcis Course,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,HYDERABAD,desktop,learn data analytics,0.023121387283236993,2.2296153846153848,51.551800800355714,0.0673076923076923,8.159392789373815
A1001,Data Analytcis Course,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,,HYDERABAD,mobile,data analytics course,0.033875073428627375,1.2534104046242776,42.45936949285295,0.046242774566473986,7.743036340158643
A1002,Data Analytcis Course,90.0,4544.0,203.66,26.0,9.0,,1624.0,,HYDERABAD,desktop,data analitics online,0.019806338028169015,2.262888888888889,44.81954225352113,0.1,7.974074437788471
A1003,Data Analytcis Course,142.0,3185.0,237.66,17.0,6.0,,1225.0,2024-11-26,HYDERABAD,tablet,data anaytics training,0.0445839874411303,1.673661971830986,74.61852433281005,0.04225352112676056,5.154422283935033
A1004,Data Analytcis Course,156.0,3361.0,195.9,30.0,8.0,,1091.0,2024-11-22,HYDERABAD,desktop,online data analytic,0.046414757512645045,1.2557692307692307,58.286224337994646,0.05128205128205128,5.569167942827973
A1005,Data Analytcis Course,195.0,3776.0,243.57,10.0,8.0,,1315.0,,HYDERABAD,mobile,data anaytics training,0.051641949152542374,1.249076923076923,64.50476694915254,0.041025641025641026,5.398858644332225
A1006,Data Analytcis Course,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,,HYDERABAD,tablet,data analytics course,0.025892857142857145,2.0499137931034483,53.078125,0.04310344827586207,6.896841751124942
A1007,Data Analytcis Course,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,,HYDERABAD,tablet,analytics for data,0.03636363636363636,1.2478804347826087,45.37747035573123,0.016304347826086956,6.57201341404991
A1008,Data Analytcis Course,113.0,5434.0,,27.0,4.0,0.058,1362.0,,HYDERABAD,tablet,data anaytics training,0.020794994479205006,,,0.035398230088495575,
A1009,Data Analytcis Course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,,HYDERABAD,mobile,online data analytic,0.04947839046199702,1.1251807228915662,55.67213114754099,0.05421686746987952,5.509155155798266
A1010,Data Analytcis Course,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,,HYDERABAD,desktop,learn data analytics,0.018707167994072977,2.3444554455445545,43.85812187442119,0.0594059405940594,8.023987499472106
